mois,"indice ""i""","indice ""i2021""","indice ""K1""","indice ""K2""","indice ""M""","indice ""MM""","indice ""s"" - cat A (< 10 p)","indice ""s"" - cat A (de 10 à 19 p)","indice ""s"" - cat A (≥ 20 p)","indice ""s"" - cat B (< 10 p)","indice ""s"" - cat B (de 10 à 19 p)","indice ""s"" - cat B (≥ 20 p)","indice ""s"" - cat C (< 10 p)","indice ""s"" - cat C (de 10 à 19 p)","indice ""s"" - cat C (≥ 20 p)","indice ""s"" - cat D (< 10 p)","indice ""s"" - cat D (de 10 à 19 p)","indice ""s"" - cat D (≥ 20 p)","indice ""s"" - électriciens (< 10 p)","indice ""s"" - électriciens (≥ 10 p)",Indice T0 - asphalteurs,Indice T1 - asphalteurs,Indice T2 - asphalteurs,Indice T3 - asphalteurs,Indice T4 - asphalteurs,Indice T5 - asphalteurs,Usines & Ateliers - CP 111,IPP 23 - Fabrication d’autres produits minéraux non métalliques,IPP 24 - Métallurgie,IPP 161 - Sciage et rabotage du bois,"IPP 162 - Fabrication d’articles en bois, liège, vannerie et sparterie","IPP 203 - Fabrication de peintures, vernis, encres et mastics",IPP 205 - Fabrication d’autres produits chimiques,IPP 222 - Fabrication de produits en plastique,IPP 231 - Fabrication de verre et d’articles en verre,IPP 233 - Fabrication de matériaux de construction en terre cuite,"IPP 235 - Fabrication de ciment, chaux et plâtre","IPP 236 - Fabrication d’ouvrages en béton, en ciment ou en plâtre","IPP 237 - Taille, façonnage et finissage de pierres",IPP 239 - Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.,IPP 241 - Sidérurgie,IPP 243 - Fabrication d’autres produits de première transformation de l’acier,IPP 244 - Production de métaux précieux et d’autres métaux non ferreux,IPP 251 - Fabrication d’éléments en métal pour la construction,"IPP 252 - Fabrication de réservoirs, citernes et conteneurs métalliques","IPP 257 - Fabrication de coutellerie, d’outillage et de quincaillerie",IPP 259 - Fabrication d’autres ouvrages en métaux,IPP 263 - Fabrication d’équipements de communication,"IPP 271 - Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique",IPP 273 - Fabrication de fils et câbles et de matériel d’installation électrique,IPP 274 - Fabrication d’appareils d’éclairage électrique,IPP 282 - Fabrication d’autres machines d’usage général,IPP 310 - Fabrication de meubles,"IPP 081 - Extraction de pierres, de sables et d’argiles",CIMENT (série spécifique - enquête)
01/09/2023,12412,"138,25",5036,5422,"550,348","985,725","35,748","36,812","36,808","35,716","36,78","36,776","34,915","35,979","35,975","34,414","35,477","35,474","30,716","31,039","76,8","93,72","65,14","82,26","266,75","219,17","13,5099","169,93","172,87","155,8","180,72","177,26","142,98","137,71","166,82","186,95","191,02","163,13",123,"198,84","181,44","108,2","169,82","152,77","177,85","126,15","129,15","118,31","139,45","175,11","174,53","141,02","150,55","170,78","200,3"
01/10/2023,12529,"139,55",5120,5480,"550,918","963,024","35,85","36,938","36,932","35,818","36,906","36,9","35,017","36,105","36,1","34,515","35,603","35,598","30,789","31,112","78,58","96,16","66,47","84,27","269,62","222,64","13,5099","174,58","176,59","152,24","176,65","170,5","138,31","136,84","179,16","186,95","190,69","165,93",123,"221,05","193,55","110,16","170,3","154,22","176,62","128,05","129,95","118,31","139,45","174,97","194,83","141,02","150,4","165,08","200,22"
01/11/2023,12500,"139,23",4985,5449,"538,385","988,614","35,85","36,938","36,932","35,818","36,906","36,9","35,017","36,105","36,1","34,515","35,603","35,598","30,789","31,112","75,06","90,67","64,31","80,07","258,98","209,5","13,5099","172,14","178,18","157,03","180,45","174,75","149,09","138,21","174,31","186,95","190,43","162,8","122,79","220,91","196,18","110,39","171,79","155,32","177,85","126,15","131,38","118,31","139,45","177,96","174,74","141,02","150,66","163,44","200,22"
01/12/2023,12506,"139,3",4841,5403,"526,693","1016,401","35,85","36,938","36,932","35,818","36,906","36,9","35,017","36,105","36,1","34,515","35,603","35,598","30,789","31,112","71,92","85,83","62,34","76,33","249,29","197,65","13,5099","172,79","178,11","157,91",182,"177,24","141,41","137,02","173,78","186,95","191,67","163,99",123,"221,55","198,89","110,18","170,81","154,95","177,85","126,15","130,31","123,04","139,45","172,79","174,53","141,32","150,55","168,55","200,22"
01/01/2024,12439,"138,54",4879,5452,"534,259",,"35,974","37,064","37,058","35,942","37,031","37,026","35,138","36,227","36,222","34,645","35,734","35,729","31,102","31,429","72,78","87,16","62,88","77,36","252,11","200,84","13,5099","170,11","177,25","159,78","181,5","174,34","143,51",137,"161,4","186,95","189,16","164,85","123,69","220,29","198,11","109,26","169,68","155,56","178,74","125,01","131,07","118,31","139,45","174,43","163,05","141,02","150,75","170,39","203,87"
01/02/2024,12573,"140,04",4956,5513,"540,487",,"36,004","37,094","37,088","35,972","37,062","37,056","35,168","36,257","36,252","34,675","35,765","35,759","31,129","31,456","73,62","87,9","63,79","78,17","255,1","203,64","13,5099","172,9","181,75","158,51","181,92","176,4","144,73","137,16","174,86","186,95","191,47","164,11","121,73",221,"198,45","109,27","177,66","155,2","177,85","126,15","132,54","118,31","139,45","175,42","172,67","141,21","150,56","175,94","204,59"
01/03/2024,12520,"139,45",4942,5485,"540,12",,"36,004","37,094","37,088","35,972","37,062","37,056","35,168","36,257","36,252","34,675","35,765","35,759","31,129","31,456","73,96","88,8","63,74","78,7","255,82","205,08","13,5099","172,83","179,2","159,54","180,23","175,08","143,3","137,37","173,04","186,95","191,16","164,34",123,"224,86","200,19","108,85","172,05","155,25","180,2","126,15","129,26","118,31","139,45","175,52","174,53","140,92","150,71","168,61","204,27"
01/04/2024,12623,"140,59",4962,5480,"546,641",,"36,406","37,5","37,494","36,373","37,467","37,462","35,562","36,656","36,65","35,064","36,158","36,152","31,129","31,456","74,89","90,38","64,23","79,85","259,38","208,69","13,5099","174,55","187,65","156,66","182,19","175,24","140,99","139,36","170,83","186,95","210,48","162,31","123,08","221,18","194,78","109,63","188,25","155,57","179,41","126,38","132,39","118,31","139,45","180,16","174,19","141,02","150,59","166,29","204,18"
01/05/2024,12719,"141,67",4988,5505,"546,383",,"36,406","37,5","37,494","36,373","37,467","37,462","35,562","36,656","36,65","35,064","36,158","36,152","31,129","31,456","75,78","91,56","64,91","80,84","259,13","208,81","13,5099","176,86","195,28","156,19","175,52",174,"139,31","141,6","166,16","186,95","230,92","164,53","122,28","202,04","184,08","110,81","207,7","151,74","182,4","127,12","135,41","123,04","142,63","186,74",180,"141,43","151,64","168,56","204,18"
01/06/2024,12751,"142,02",4960,5502,"542,842",,"36,406","37,5","37,494","36,373","37,467","37,462","35,562","36,656","36,65","35,064","36,158","36,152","31,129","31,456","74,95","90,14","64,49","79,8","256,95","205,88","13,5099","180,42","192,76","155,56","175,94","174,84","143,57","140,82","164,33","186,95","258,33","164,66","122,31","203,66","178,29","110,18","206,43","151,99","182,4","127,12","134,44","123,04","142,83","186,98",180,"141,46","151,61","168,55","204,13"
01/07/2024,12717,"141,64",4992,5513,"542,1",,"36,847","37,947","37,941","36,814","37,914","37,908","35,992","37,092","37,086","35,489","36,588","36,583","31,128","31,454","75,95","91,61","65,16","80,96","260,88","209,58","13,9611","179,51","189,19","159,8","176,77","174,91","141,99","140,38","163,73","186,89","255,36","163,63","122,49","203,95","179,52","110,25","199,25","151,78","181,86","128,19","133,69","123,04","142,83","188,67","181,54","141,64","151,61","167,74","204,13"
01/08/2024,12763,"142,16",4933,5472,"536,098",,"36,847","37,947","37,941","36,814","37,914","37,908","35,992","37,092","37,086","35,489","36,588","36,583","31,128","31,454","75,38","91,19","64,49","80,44","258,88","207,76","13,9611","179,67","192,1","160,5","176,76","174,15","141,83","143,61","163,69","187,12","256,03","163,6","123,24","204,56","178,68","110,24","204,97","151,97","181,86","127,68","133,48","123,04","142,83","184,57","181,7","141,64","151,85","168,57","204,13"
01/09/2024,12731,"141,8",4877,5456,"530,84",,"36,847","37,947","37,941","36,814","37,914","37,908","35,992","37,092","37,086","35,489","36,588","36,583","31,128","31,454","74,24","89,42","63,79","79,08","254,47","202,56","13,9611","179,48","195,43","160,54","177,97","175,55","142,23","139,17","163,24","187,06","255,88","163,56","123,27","205,2","176,39","108,6","212,61","151,66","181,86","127,68","133,63","123,28","142,83","180,19","181,63","141,64","151,86","168,69","204,13"
01/10/2024,12783,"142,38",4852,5465,"531,63",,"37,099","38,202","38,196","37,066","38,169","38,163","36,238","37,342","37,336","35,731","36,834","36,829","31,128","31,454","73,04","87,18","63,31","77,52","252,05","198,33","13,9611","179,37","192,63","161,81","177,31","173,65",142,"144,41","163,57","186,98","256,47","162,84","123,29","203,11","164,97","106,57","214,85","152,35","182,05","127,68","133,4","123,28","142,88","179,98","184,37","142,1","152,33","168,93","204,13"
01/11/2024,12762,"142,14",4841,5403,"537,994",,"37,099","38,202","38,196","37,066","38,169","38,163","36,238","37,342","37,336","35,731","36,834","36,829","31,128","31,454","75,34","90,88","64,64","80,31","258,46","206,52","13,9611","179,72","194,04","162,52","180,72","175,5","142,03","139,14","163,75","186,56","257,6","162,33","124,56","208,7","164,42","107,72","217,53","151,83","182,05","129,36","133,78","123,28","142,87","181,05","184,37","142,1","152,33","167,02","204,13"
01/12/2024,12778,"142,33",4900,5456,"539,997",,"37,099","38,202","38,196","37,066","38,169","38,163","36,238","37,342","37,336","35,731","36,834","36,829","31,128","31,454","74,69","90,15","64,04","79,63","257,92","205,88","13,9611","179,71","196,73","162,08","179,77","175,19","141,39","138,71","164,47","186,98","255,76","162,39","124,56","205,83","165,62","107,92","221,58","151,91","182,05","129,36","133,99","124,4","144,47",181,"185,87","144,23","152,88","167,13","204,13"
01/01/2025,12748,"141,99",4945,5513,"542,864",,"37,26","38,366","38,358","37,23","38,337","38,329","36,397","37,504","37,496","35,905","37,011","37,003","32,185","32,521","74,25","89,08","64,03","78,97","257,83","204,7","13,9611","174,41","199,65","165,99","179,9","176,3","137,92","138,65","150,97","186,68","255,15","162,81","124,56","208,2","161,94",108,"229,05","152,21","180,9","130,38","134,19","124,4","144,44","182,46","176,99","144,47","154,34","168,58","204,22"
01/02/2025,12753,"142,04",4968,5521,"546,599",,"37,275","38,382","38,374","37,246","38,353","38,345","36,413","37,52","37,521","35,92","37,027","37,019","32,285","32,622","75,02","90,32","64,48","79,9","259,6","207,03","13,9611","174,76","201,68","168,88","180,56","177,66","140,52","138,12","151,03","186,91","255,38","163,04","126,77","206,13","164,05","108,8","231,13","152,91","180,9","130,38","135,62","124,4","144,5","183,82","165,03","144,47","154,42","170,57","204,29"
01/03/2025,12774,"142,28",4929,5505,"541,318",,"37,275","38,382","38,374","37,246","38,353","38,345","36,413","37,52","37,521","35,92","37,027","37,019","32,285","32,622","74,51","89,8","63,98","79,39","257,24","204,66","13,9611","175,3","199,58","169,83","181,73","178,67","140,76",139,"151,36","187,56","256,16","163,6","126,77","208,48","164,19","109,73","227,2","152,61","180,9","130,38","136,24","124,67","143,18","185,48","165,03","144,66","154,64","169,46","204,32"
01/04/2025,12764,"142,17",4859,5484,"532,001",,"37,652","38,762","38,754","37,622","38,732","38,724","36,781","37,891","37,883","36,283","37,393","37,385","32,285","32,622","73,18","87,97","62,99","77,88","253,88","199,91","13,9611","174,96","199,96","170,23","180,33","180,03","140,75","140,38","151,79","186,76","254,22","162,56","127,93","208,79","167,55","111,07","225,56","152,45","180,53","130,38","136,38","124,67","143,18","182,68","165,03","144,64","154,88","170,86","204,81"
01/05/2025,12803,"142,6",4800,5462,"526,767",,"37,652","38,762","38,754","37,622","38,732","38,724","36,781","37,891","37,883","36,283","37,393","37,385","32,285","32,622","71,76","85,75","62,14","76,19","249,63","194,67","13,9611","174,95","206,28","172,94","179,16","181,12","141,2","139,89","151,43","188,4","256,13","162,8","127,93","202,71","166,88","110,74","237,37","153,15","180,53","130,38","136,55","124,67","143,22","181,82","165,03","144,85","155,11","169,87","204,48"
01/06/2025,12804,"142,61",4841,5483,"530,476",,"37,652","38,762","38,754","37,622","38,732","38,724","36,781","37,891","37,883","36,283","37,393","37,385","32,285","32,622","71,92","85,86","62,33","76,33","251,33","196,31","13,9611","174,56","206,64","172,77","179,92","181,58","141,97","139,46","150,81","186,3","255,17","162,94","127,93","203,69","168,79","109,33","237,01","153,71","183,04","130,38","134,62","125,17","144,27","182,65","165,03","146,63","155,15","169,21","204,48"
01/07/2025,12805,,4873,5490,"533,942",,"37,97","39,084","39,076","37,94","39,054","39,046","37,091","38,205","38,197","36,589","37,703","37,695","32,284","32,62","72,92","87,23","63,07","77,45","255,35","200,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2025,,,,,,,"37,97","39,084","39,076","37,94","39,054","39,046","37,091","38,205","38,197","36,589","37,703","37,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2025,,,,,,,"37,97","39,084","39,076","37,94","39,054","39,046","37,091","38,205","38,197","36,589","37,703","37,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

01/12/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
